Date,history1,history2,history3,history4
2015-04-04,10543.05994,9163.81812,11043.18051,11042.09889
2015-04-05,10572.18065,9262.345147,11011.0113,11009.99856
2015-04-06,10503.01771,9338.90135,11017.02272,11016.05051
2015-04-07,10576.11927,9262.804713,10926.2748,10925.35075
2015-04-08,10493.46497,9356.358984,10927.13394,10926.20159
2015-04-09,10621.68622,9463.497385,10784.80825,10783.44892
2015-04-10,10666.14306,9412.646415,10757.84967,10756.46236
2015-04-11,10636.85274,9333.452294,10939.2737,10938.05511
2015-04-12,10672.26986,9377.49791,10934.79094,10933.6116
2015-04-13,10599.82533,9290.856489,10895.19148,10893.86504
2015-04-14,10392.26363,9283.768752,10853.6197,10852.29765
2015-04-15,10323.79705,9249.072551,10883.7847,10882.45337
2015-04-16,10367.69034,9241.577208,10812.22909,10811.05278
2015-04-17,10355.79337,8961.940754,10887.4791,10886.19099
2015-04-18,10281.20473,8914.808831,10802.93559,10801.39345
2015-04-19,10264.86853,9086.294942,10935.08974,10933.60998
2015-04-20,10064.76582,9123.479131,10981.14962,10979.7766
2015-04-21,10106.09961,9329.088138,10951.02255,10949.49945
2015-04-22,10279.33395,9464.424326,10987.69734,10986.08163
2015-04-23,10407.75828,9446.270285,10913.17656,10911.23786
2015-04-24,10400.74882,9463.20402,10700.29923,10698.10987
2015-04-25,10380.66542,9503.475928,10628.44857,10626.8127
2015-04-26,10446.74929,9607.768978,10673.26829,10671.71151
2015-04-27,10509.01291,9666.415149,10660.96686,10659.55732
2015-04-28,10571.28554,9631.783049,10584.41054,10582.4781
2015-04-29,10536.28163,9544.280946,10567.71434,10565.58772
2015-04-30,10480.25989,9783.731953,10361.82975,10359.23641
2015-05-01,10517.03363,9837.365093,10404.7187,10402.0961
2015-05-02,10575.30138,9892.781806,10582.22221,10579.66447
2015-05-03,10447.45615,9848.005252,10713.57986,10711.24266
2015-05-04,10494.64873,9815.283157,10706.30522,10704.13139
2015-05-05,10522.69897,9977.995035,10685.58491,10683.36187
2015-05-06,10513.50727,10143.54963,10753.2314,10750.96453
2015-05-07,10407.17466,10154.10769,10816.37116,10814.1488
2015-05-08,10319.37606,10164.03822,10880.29593,10877.90724
2015-05-09,10261.13094,10355.39396,10844.4914,10841.79447
2015-05-10,10298.28367,10304.08553,10787.45418,10784.45483
2015-05-11,10184.66797,10332.22448,10825.31048,10822.3695
2015-05-12,10229.10201,10368.83699,10885.18174,10882.10065
2015-05-13,10370.22202,10441.08663,10754.16385,10750.80331
2015-05-14,10205.96098,10469.31827,10802.66055,10799.19246
2015-05-15,10107.09006,10456.03094,10831.38327,10828.30078
2015-05-16,10180.10997,10394.41801,10821.93857,10818.78141
2015-05-17,10236.31942,10298.00162,10713.12806,10709.43792
2015-05-18,10262.76268,10298.09122,10622.93287,10619.34801
2015-05-19,10220.62746,10278.11114,10563.31553,10559.87806
2015-05-20,10144.99455,10196.85647,10601.56905,10598.36928
2015-05-21,9908.648397,10008.48,10484.47534,10480.96719
2015-05-22,9553.297535,10127.7553,10530.3112,10526.88857
2015-05-23,9219.411496,10090.23547,10675.30341,10671.47164
2015-05-24,9303.419603,10194.54378,10508.44635,10504.57415
2015-05-25,9619.084172,10214.41295,10407.57744,10402.45296
2015-05-26,9840.749207,10269.02211,10482.42086,10477.71965
2015-05-27,9839.806526,10270.44511,10540.49832,10535.72064
2015-05-28,9689.629794,10282.32019,10567.52605,10562.74441
2015-05-29,9423.397605,10250.42381,10524.43923,10519.5215
2015-05-30,9586.326652,10251.63764,10446.89088,10442.01531
2015-05-31,9611.118994,10246.27592,10204.36862,10199.84142
2015-06-01,9427.892129,10288.32512,9839.354123,9834.579791
2015-06-02,9509.412063,10211.75357,9495.67537,9490.327378
2015-06-03,9525.897526,10082.59894,9582.393729,9577.180269
2015-06-04,9628.969574,10289.69634,9906.844518,9902.021183
2015-06-05,9708.703552,10197.27779,10134.59549,10129.89865
2015-06-06,9628.516596,10184.91152,10133.84588,10129.07531
2015-06-07,9726.036583,10032.04049,9980.45617,9974.991412
2015-06-08,9837.7754,10069.19302,9706.563848,9701.005738
2015-06-09,9784.254196,9922.347099,9873.552617,9867.944324
2015-06-10,9700.922575,9999.53599,9899.156116,9893.980477
2015-06-11,9747.736451,10049.15421,9710.613065,9705.083461
2015-06-12,9656.57941,10209.02935,9794.372357,9787.849186
2015-06-13,9648.921191,10093.53406,9810.07031,9803.479531
2015-06-14,9613.081319,9881.26441,9915.791972,9909.275929
2015-06-15,9606.235343,9923.590678,9997.635739,9991.122746
2015-06-16,9313.906984,10002.37833,9915.5176,9908.824518
2015-06-17,9266.714836,10085.31859,10015.19272,10008.50733
2015-06-18,9444.79308,10045.93354,10129.77234,10123.12693
2015-06-19,9482.067068,9996.759717,10075.44448,10068.78335
2015-06-20,9697.230472,10094.53266,9990.019895,9983.555496
2015-06-21,9837.984083,10014.25804,10037.97449,10031.07184
2015-06-22,9818.724229,9925.035479,9944.923055,9937.7964
2015-06-23,9837.738709,9769.106679,9937.484159,9930.200578
2015-06-24,9881.182159,9834.387611,9900.461148,9893.118276
2015-06-25,9989.558984,9609.924716,9893.766533,9886.399989
