,history
358,10519.876173393695
359,10619.899621720248
360,10292.986654247066
361,10137.682837233466
362,10340.576302072139
363,10538.944474012687
364,10637.218545017624
365,10639.176802237449
366,10573.300461900797
367,10651.597315730052
368,10678.259366498636
369,10758.461297489981
370,10882.82213890541
371,10866.098428231257
372,10743.725440112104
373,10860.749929701058
374,10850.257420261518
375,10928.756001784417
376,10930.421920009598
377,11007.676776890548
378,10906.241738749102
379,10951.21027937457
380,10845.373434296405
381,10879.921555287945
382,11021.565367005427
383,11084.097805923624
384,11248.477357193127
385,11273.828831104187
386,11187.446760845647
387,11215.758553108124
388,11273.384229603615
389,11356.5881351996
390,11344.445665450736
391,11407.091703604723
392,11485.932605715674
393,11637.640596955449
394,11776.427276715109
395,11771.97284008431
396,11751.117033313303
397,11705.17311715768
398,11777.250715359109
399,11744.54689213081
400,11716.174370677623
401,11755.583283430546
402,11700.409002199685
403,11717.726659423199
404,11721.832323258772
405,11696.695008593519
406,11680.923387127425
407,11688.21640701482
408,11719.43510178182
409,11836.899806412704
410,12006.955686634388
411,11970.158084910954
412,11864.048403912653
413,11636.254052011982
414,11753.38670768093
415,11724.48274206339
416,11861.325012745814
417,12027.377176789545
418,11950.703599916553
419,11911.341724020893
420,11938.643881911425
421,12286.571410899838
422,12424.853807923075
423,12312.468910045074
424,12259.474550319737
425,12375.076189313035
426,12408.286059224198
427,12233.494434274933
428,12271.981058025065
429,12240.546746563778
430,12224.326211617987
431,12284.306476219414
432,12283.182281326157
433,12249.680648556134
434,12376.3680372502
435,12270.306448617755
436,12264.021668901338
437,12263.884134502588
438,12238.061604021566
439,12244.742869545915
440,12329.652224022633
441,12292.050003389466
442,12289.102253545492
443,12235.480678722446
444,12312.629687017889
445,12256.731004797624
446,12143.388642708433
447,12066.602926627525
448,12048.608255147092
449,12024.730705043252
450,11908.219065361323
451,11875.840287952427
452,11850.894780977726
453,11760.559922839386
454,11857.561159729798
455,11896.780915350557
456,11770.976762427616
457,11537.617881246426
458,11529.623131979262
459,11354.124100412075
460,11413.55810797234
461,11511.206394261972
462,11603.987161098492
463,11531.367084513233
464,11626.644344284452
465,11646.414828456629
466,11598.694831761508
467,11583.96691558708
468,11592.03940472528
469,11623.821343023998
470,11500.086721813987
471,11236.514386407483
472,11252.15259374286
473,11304.930887863102
474,11300.482546436726
475,11415.236851915388
476,11515.311883469236
477,11613.957244835234
478,11576.808688055911
479,11665.99007664788
480,11573.731001815628
481,11514.64047013903
482,11445.544661641507
483,11536.044320847768
484,11567.816016180604
485,11528.69008076489
486,11421.227364099499
487,11440.601939536999
488,11467.380663892623
489,11418.730523345293
490,11404.486660017286
491,11373.628223499158
492,11433.069565213276
493,11518.344495890367
494,11678.319052188119
495,11764.323284858905
496,11801.062340944469
497,11905.539684522462
498,12012.867642027326
499,12002.1133601884
500,12017.226395818363
501,12008.871387076131
502,12011.214640814194
503,12008.438742690694
504,12038.024004901368
505,12098.817964670447
506,12234.767259922874
507,12372.293295807183
508,12338.996740433093
509,12299.148912435008
510,12176.46640142912
511,12237.131906045146
512,12387.507422005638
513,12500.950389395077
514,12522.485170920381
515,12565.75772142376
516,12612.031006845087
517,12693.829905135724
518,12699.624035312512
519,12676.16495259148
520,12726.403449189998
521,12716.503962497076
522,12744.463565069222
523,12704.999179526474
524,12723.166005184412
525,12772.052970412586
526,12834.115074346784
527,12760.762381661969
528,12760.073215004244
529,12756.623170013001
530,12746.802049236849
531,12916.902820182848
532,12860.495478517008
533,12893.75177642112
534,12831.883478769507
535,12811.746043634997
536,12799.63349670055
537,12807.254110652839
538,12918.360186504211
539,12994.908349056719
540,12924.277470872552
541,12970.936108318467
542,13045.251160127435
543,13145.998062834984
544,13202.853586959607
545,13063.075491740063
546,13158.765132725655
547,13199.938861019438
548,13242.32100048746
549,13282.18440680486
550,13336.36430445454
551,13459.80753568142
552,13467.316418212156
553,13468.017830715611
554,13406.81187537891
555,13430.676062713459
556,13381.486863330389
557,13349.315222154864
558,13357.284354865084
559,13405.739901797228
560,13335.144818261932
561,13299.879036529966
562,13255.137773045648
563,13369.947162692713
564,13327.871664585708
565,13339.647811606366
566,13522.175829981006
567,13594.273450167868
568,13701.66469307097
569,13731.573292323174
570,13682.89090443099
571,13719.302240909818
572,13791.739598049093
573,13916.792263988556
574,13970.2853586179
575,13912.277969281711
576,13878.594629040905
577,13948.797196926864
578,14080.61190449525
579,14204.684450974406
580,14217.306622343292
581,14236.41362523008
582,14288.8210492695
583,14306.854316171977
584,14382.372491465652
585,14123.142127921194
586,14179.60254982852
587,14301.48416799985
588,14394.094178659372
589,14363.264690575932
590,14421.80100303748
591,14497.7773434283
592,14522.835438163316
593,14516.32381026482
594,14464.566660870412
595,14489.087236632779
596,14677.634885103702
597,14673.295013318799
598,14690.163391542164
599,14720.779515406211
600,15087.03135619087
601,14737.826986007592
602,14648.993332872418
603,14651.181346592308
604,14615.227342764714
605,14577.558725408551
606,14531.347780761396
607,14868.70776464597
608,14792.861524983833
609,14982.088223534622
610,14965.532680410284
611,15037.855691976238
612,15025.408187376324
613,14898.943884374075
